append   Lamb          MicroBenches    0  1  10000000    mean:    3140.6  [  3103.9,    3177.3]
append   Lamb          MicroBenches    0  1  1000000     mean:     353.2  [   347.4,     359.1]
append   Lamb          MicroBenches    0  1  11000000    mean:    3294.2  [  3284.8,    3303.6]
append   Lamb          MicroBenches    0  1  12000000    mean:    4301.1  [  4256.6,    4345.5]
append   Lamb          MicroBenches    0  1  13000000    mean:    3712.2  [  3696.2,    3728.2]
append   Lamb          MicroBenches    0  1  14000000    mean:    3972.2  [  3947.1,    3997.4]
append   Lamb          MicroBenches    0  1  15000000    mean:    4207.1  [  4202.4,    4211.7]
append   Lamb          MicroBenches    0  1  16000000    mean:    5167.1  [  5092.5,    5241.7]
append   Lamb          MicroBenches    0  1  17000000    mean:    5424.3  [  5379.5,    5469.1]
append   Lamb          MicroBenches    0  1  18000000    mean:    5500.3  [  5469.4,    5531.3]
append   Lamb          MicroBenches    0  1  19000000    mean:    5728.8  [  5714.7,    5742.8]
append   Lamb          MicroBenches    0  1  20000000    mean:    7445.7  [  7388.9,    7502.4]
append   Lamb          MicroBenches    0  1  2000000     mean:     775.2  [   768.4,     782.1]
append   Lamb          MicroBenches    0  1  3000000     mean:     871.7  [   860.8,     882.5]
append   Lamb          MicroBenches    0  1  4000000     mean:    1386.5  [  1370.1,    1402.8]
append   Lamb          MicroBenches    0  1  5000000     mean:    1898.1  [  1886.9,    1909.3]
append   Lamb          MicroBenches    0  1  6000000     mean:    1726.9  [  1710.1,    1743.7]
append   Lamb          MicroBenches    0  1  7000000     mean:    2421.4  [  2404.7,    2438.0]
append   Lamb          MicroBenches    0  1  8000000     mean:    2733.0  [  2724.5,    2741.4]
append   Lamb          MicroBenches    0  1  9000000     mean:    3396.2  [  3371.0,    3421.4]
append   LambUncached  MicroBenches    0  1  10000000    mean:    3125.0  [  3113.4,    3136.6]
append   LambUncached  MicroBenches    0  1  1000000     mean:     358.4  [   353.4,     363.4]
append   LambUncached  MicroBenches    0  1  11000000    mean:    3935.4  [  3911.1,    3959.8]
append   LambUncached  MicroBenches    0  1  12000000    mean:    4301.1  [  4265.0,    4337.2]
append   LambUncached  MicroBenches    0  1  13000000    mean:    3713.4  [  3695.4,    3731.5]
append   LambUncached  MicroBenches    0  1  14000000    mean:    4006.3  [  3953.1,    4059.4]
append   LambUncached  MicroBenches    0  1  15000000    mean:    4253.9  [  4185.8,    4321.9]
append   LambUncached  MicroBenches    0  1  16000000    mean:    5133.1  [  5101.1,    5165.2]
append   LambUncached  MicroBenches    0  1  17000000    mean:    5406.3  [  5385.0,    5427.6]
append   LambUncached  MicroBenches    0  1  18000000    mean:    5485.5  [  5461.1,    5510.0]
append   LambUncached  MicroBenches    0  1  19000000    mean:    5707.2  [  5698.5,    5715.8]
append   LambUncached  MicroBenches    0  1  20000000    mean:    7523.3  [  7390.1,    7656.4]
append   LambUncached  MicroBenches    0  1  2000000     mean:     877.3  [   861.4,     893.1]
append   LambUncached  MicroBenches    0  1  3000000     mean:     856.9  [   853.8,     859.9]
append   LambUncached  MicroBenches    0  1  4000000     mean:    1371.7  [  1367.0,    1376.4]
append   LambUncached  MicroBenches    0  1  5000000     mean:    1900.9  [  1887.8,    1914.0]
append   LambUncached  MicroBenches    0  1  6000000     mean:    1730.9  [  1712.8,    1749.1]
append   LambUncached  MicroBenches    0  1  7000000     mean:    2417.0  [  2407.5,    2426.4]
append   LambUncached  MicroBenches    0  1  8000000     mean:    2749.4  [  2720.0,    2778.7]
append   LambUncached  MicroBenches    0  1  9000000     mean:    2885.4  [  2853.1,    2917.7]
append   MLton         MicroBenches    0  1  10000000    mean:    1544.7  [  1542.2,    1547.1]
append   MLton         MicroBenches    0  1  1000000     mean:     200.2  [   199.0,     201.4]
append   MLton         MicroBenches    0  1  11000000    mean:    1700.9  [  1697.6,    1704.1]
append   MLton         MicroBenches    0  1  12000000    mean:    1862.0  [  1847.6,    1876.4]
append   MLton         MicroBenches    0  1  13000000    mean:    2008.9  [  1994.5,    2023.2]
append   MLton         MicroBenches    0  1  14000000    mean:    2438.9  [  2429.2,    2448.6]
append   MLton         MicroBenches    0  1  15000000    mean:    2632.7  [  2616.9,    2648.5]
append   MLton         MicroBenches    0  1  16000000    mean:    2826.6  [  2819.6,    2833.6]
append   MLton         MicroBenches    0  1  17000000    mean:    1138.6  [  1137.0,    1140.2]
append   MLton         MicroBenches    0  1  18000000    mean:    1169.3  [  1167.7,    1171.0]
append   MLton         MicroBenches    0  1  19000000    mean:    1203.6  [  1201.7,    1205.6]
append   MLton         MicroBenches    0  1  20000000    mean:    1234.8  [  1233.5,    1236.1]
append   MLton         MicroBenches    0  1  2000000     mean:     436.4  [   434.4,     438.3]
append   MLton         MicroBenches    0  1  3000000     mean:     171.7  [   170.8,     172.7]
append   MLton         MicroBenches    0  1  4000000     mean:     251.0  [   250.2,     251.9]
append   MLton         MicroBenches    0  1  5000000     mean:     288.5  [   288.0,     289.0]
append   MLton         MicroBenches    0  1  6000000     mean:     325.7  [   324.8,     326.7]
append   MLton         MicroBenches    0  1  7000000     mean:    1271.4  [  1268.2,    1274.6]
append   MLton         MicroBenches    0  1  8000000     mean:    1328.7  [  1322.9,    1334.6]
append   MLton         MicroBenches    0  1  9000000     mean:    1383.8  [  1379.7,    1387.9]
append   OCaml         MicroBenches    0  1  10000000    mean:    7503.8  [  7496.8,    7510.8]
append   OCaml         MicroBenches    0  1  1000000     mean:     250.3  [   248.4,     252.1]
append   OCaml         MicroBenches    0  1  11000000    mean:    9126.3  [  9118.7,    9134.0]
append   OCaml         MicroBenches    0  1  12000000    mean:   10608.8  [ 10603.4,   10614.3]
append   OCaml         MicroBenches    0  1  13000000    mean:   11695.7  [ 11685.3,   11706.0]
append   OCaml         MicroBenches    0  1  14000000    mean:   13441.7  [ 13434.5,   13448.9]
append   OCaml         MicroBenches    0  1  15000000    mean:   15635.4  [ 15625.1,   15645.8]
append   OCaml         MicroBenches    0  1  16000000    mean:   17527.1  [ 17514.0,   17540.1]
append   OCaml         MicroBenches    0  1  17000000    mean:   19519.9  [ 19513.3,   19526.5]
append   OCaml         MicroBenches    0  1  18000000    mean:   21130.5  [ 21120.8,   21140.2]
append   OCaml         MicroBenches    0  1  19000000    mean:   23435.6  [ 23427.5,   23443.6]
append   OCaml         MicroBenches    0  1  20000000    mean:   25865.0  [ 25860.7,   25869.3]
append   OCaml         MicroBenches    0  1  2000000     mean:     595.2  [   593.3,     597.0]
append   OCaml         MicroBenches    0  1  3000000     mean:    1057.6  [  1056.4,    1058.9]
append   OCaml         MicroBenches    0  1  4000000     mean:    1606.7  [  1605.6,    1607.8]
append   OCaml         MicroBenches    0  1  5000000     mean:    2375.5  [  2369.1,    2381.9]
append   OCaml         MicroBenches    0  1  6000000     mean:    3065.2  [  3062.2,    3068.2]
append   OCaml         MicroBenches    0  1  7000000     mean:    4203.9  [  4200.1,    4207.7]
append   OCaml         MicroBenches    0  1  8000000     mean:    5230.8  [  5228.1,    5233.5]
append   OCaml         MicroBenches    0  1  9000000     mean:    6187.0  [  6181.7,    6192.3]
append   Pycket        MicroBenches    0  1  10000000    mean:    5525.1  [  5489.0,    5561.2]
append   Pycket        MicroBenches    0  1  1000000     mean:     408.7  [   407.7,     409.7]
append   Pycket        MicroBenches    0  1  11000000    mean:    5916.3  [  5887.7,    5944.9]
append   Pycket        MicroBenches    0  1  12000000    mean:    6362.9  [  6322.5,    6403.3]
append   Pycket        MicroBenches    0  1  13000000    mean:    6841.4  [  6786.8,    6896.0]
append   Pycket        MicroBenches    0  1  14000000    mean:    7182.8  [  7129.1,    7236.5]
append   Pycket        MicroBenches    0  1  15000000    mean:    7565.0  [  7518.5,    7611.5]
append   Pycket        MicroBenches    0  1  16000000    mean:    7945.9  [  7885.1,    8006.7]
append   Pycket        MicroBenches    0  1  17000000    mean:    8307.0  [  8249.0,    8365.0]
append   Pycket        MicroBenches    0  1  18000000    mean:    8827.3  [  8777.8,    8876.8]
append   Pycket        MicroBenches    0  1  19000000    mean:   12494.0  [ 12356.8,   12631.2]
append   Pycket        MicroBenches    0  1  20000000    mean:   14615.1  [ 14486.9,   14743.3]
append   Pycket        MicroBenches    0  1  2000000     mean:     479.8  [   475.4,     484.2]
append   Pycket        MicroBenches    0  1  3000000     mean:    2107.5  [  2088.2,    2126.8]
append   Pycket        MicroBenches    0  1  4000000     mean:    1802.7  [  1789.8,    1815.6]
append   Pycket        MicroBenches    0  1  5000000     mean:    1301.7  [  1293.7,    1309.7]
append   Pycket        MicroBenches    0  1  6000000     mean:    2985.9  [  2959.8,    3012.0]
append   Pycket        MicroBenches    0  1  7000000     mean:    3518.8  [  3501.4,    3536.2]
append   Pycket        MicroBenches    0  1  8000000     mean:    5356.6  [  5318.3,    5394.9]
