1	1	560.782	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
1	1	23	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
1	1	828252	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
1	1	560.782	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
2	1	573.65	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
2	1	24	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
2	1	827764	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
2	1	573.65	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
3	1	560.134	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
3	1	24	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
3	1	828400	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
3	1	560.134	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
4	1	573.986	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
4	1	24	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
4	1	827768	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
4	1	573.986	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
5	1	561.2330000000002	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
5	1	23	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
5	1	828236	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
5	1	561.2330000000002	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
6	1	562.177	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
6	1	24	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
6	1	828256	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
6	1	562.177	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
7	1	567.237	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
7	1	24	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
7	1	827692	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
7	1	567.237	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
8	1	563.309	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
8	1	24	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
8	1	827720	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
8	1	563.309	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
9	1	562.554	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
9	1	24	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
9	1	828368	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
9	1	562.554	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
10	1	563.443	ms	cpu	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
10	1	23	ms	gc	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
10	1	827712	kbyte	mem	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
10	1	563.443	ms	total	reverse	RSqueakShapes	SqueakParadigmBenches	20000000	1		
1	1	81081.795	ms	cpu	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
1	1	45240	ms	gc	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
1	1	13234772	kbyte	mem	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
1	1	81081.795	ms	total	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
2	1	80975.62100000001	ms	cpu	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
2	1	45225	ms	gc	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
2	1	13235060	kbyte	mem	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
2	1	80975.62100000001	ms	total	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
3	1	81078.39	ms	cpu	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
3	1	45352	ms	gc	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
3	1	13235084	kbyte	mem	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
3	1	81078.39	ms	total	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
4	1	81779.31599999999	ms	cpu	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
4	1	45391	ms	gc	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
4	1	13235256	kbyte	mem	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
4	1	81779.31599999999	ms	total	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
5	1	80984.39199999999	ms	cpu	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
5	1	45289	ms	gc	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
5	1	13234788	kbyte	mem	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
5	1	80984.39199999999	ms	total	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
6	1	82038.65000000001	ms	cpu	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
6	1	45446	ms	gc	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
6	1	13234776	kbyte	mem	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
6	1	82038.65000000001	ms	total	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
7	1	81378.91699999999	ms	cpu	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
7	1	45537	ms	gc	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
7	1	13235024	kbyte	mem	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
7	1	81378.91699999999	ms	total	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
8	1	81676.848	ms	cpu	reverse	RSqueakFunctionalShapes	SqueakParadigmBenches	20000000	1		
