#!/usr/local/bin/rebench -d -v rebench.conf CacheLamb
[2013-10-10 23:08:01.374044]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	shapes = 9
[2013-10-10 23:08:01.374191]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	total = 159.214000
[2013-10-10 23:08:01.374258]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	cpu = 68.005000
[2013-10-10 23:08:01.374316]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	transformationrules = 6
[2013-10-10 23:08:01.951010]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	shapes = 9
[2013-10-10 23:08:01.951156]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	total = 68.679000
[2013-10-10 23:08:01.951228]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	cpu = 72.004000
[2013-10-10 23:08:01.951275]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	transformationrules = 6
[2013-10-10 23:08:02.540203]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	shapes = 9
[2013-10-10 23:08:02.540330]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	total = 68.584000
[2013-10-10 23:08:02.540402]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	cpu = 68.004000
[2013-10-10 23:08:02.540449]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1000000	None	transformationrules = 6
[2013-10-10 23:08:03.370283]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1500000	None	shapes = 9
[2013-10-10 23:08:03.370424]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1500000	None	total = 83.570000
[2013-10-10 23:08:03.370497]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1500000	None	cpu = 84.006000
[2013-10-10 23:08:03.370554]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1500000	None	transformationrules = 6
[2013-10-10 23:08:04.197765]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1500000	None	shapes = 9
[2013-10-10 23:08:04.197909]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1500000	None	total = 83.820000
[2013-10-10 23:08:04.197978]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1500000	None	cpu = 84.006000
[2013-10-10 23:08:04.198027]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	1500000	None	transformationrules = 6
[2013-10-10 23:08:05.347631]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2000000	None	shapes = 9
[2013-10-10 23:08:05.347773]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2000000	None	total = 168.476000
[2013-10-10 23:08:05.347847]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2000000	None	cpu = 172.011000
[2013-10-10 23:08:05.347905]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2000000	None	transformationrules = 6
[2013-10-10 23:08:06.495786]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2000000	None	shapes = 9
[2013-10-10 23:08:06.495926]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2000000	None	total = 168.314000
[2013-10-10 23:08:06.495998]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2000000	None	cpu = 168.010000
[2013-10-10 23:08:06.496046]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2000000	None	transformationrules = 6
[2013-10-10 23:08:07.956683]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2500000	None	shapes = 9
[2013-10-10 23:08:07.956792]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2500000	None	total = 179.792000
[2013-10-10 23:08:07.956858]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2500000	None	cpu = 180.010000
[2013-10-10 23:08:07.956908]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2500000	None	transformationrules = 6
[2013-10-10 23:08:09.418395]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2500000	None	shapes = 9
[2013-10-10 23:08:09.418543]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2500000	None	total = 179.664000
[2013-10-10 23:08:09.418606]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2500000	None	cpu = 176.011000
[2013-10-10 23:08:09.418674]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	2500000	None	transformationrules = 6
[2013-10-10 23:08:11.125113]	reverse, vm:ulamb-c, suite:CacheLambBenchmarks, args:''	1	3000000	None	shapes = 9
